landlot_address,road_name_address,x,y
경기도 수원시 권선구 탑동 615번지 1호,"경기도 수원시 권선구 호매실로 46-95, 1층 (탑동)",197283.3266,417488.6453
경기도 수원시 권선구 권선동 1305번지 권선대우아파트,"경기도 수원시 권선구 동탄원천로813번길 16, 상가동 103호,104호 (권선동, 권선대우아파트)",203363.1387,416345.4165
경기도 수원시 권선구 고색동 1191번지,"경기도 수원시 권선구 권선로 308-5, 도이치오토월드 내 지하1층 B1093, B1094호 (고색동)",198848.998,417348.8186
경기도 수원시 권선구 금곡동 1118번지 e-SPACE CITY-1,"경기도 수원시 권선구 금곡로 202, 상가동 1층 125호 (금곡동)",195731.1792,419060.6746
경기도 수원시 권선구 구운동 921번지 11호,"경기도 수원시 권선구 구운로85번길 12, 102, 103호 (구운동)",197489.4946,419955.2153
경기도 수원시팔달구 팔달로3가 25번지 6   호,경기도 수원시 팔달구 정조로770번길 7 (팔달로3가),201466.4818,419450.625
경기도 수원시팔달구 매산로1가 18호,,199920.1947,418246.9271
경기도 수원시 권선구 구운동 963번지 1호,경기도 수원시 권선구 구운로47번길 19 (구운동),197461.7267,419527.2014
경기도 수원시 권선구 오목천동 1180번지 수원권선 꿈에그린 아파트,"경기도 수원시 권선구 서수원로 99, 309동 105,106호 (오목천동, 수원권선 꿈에그린 아파트)",197737.5645,414767.0121
경기도 수원시 권선구 세류동 460번지 7호,"경기도 수원시 권선구 정조로 533, 101호 (세류동)",200914.95,417210.5498
경기도 수원시 권선구 권선동 1042번지 15호,"경기도 수원시 권선구 권광로 91, 1층 일부 (권선동)",202535.8972,417122.9755
경기도 수원시 권선구 금곡동 1141,"경기도 수원시 권선구 금호로 83-8, 111, 112호 (금곡동)",196311.7012,418900.6711
경기도 수원시 권선구 호매실동 1402번지 센타프라자,"경기도 수원시 권선구 호매실로104번길 24-44, 센타프라자 1층 110호 (호매실동)",196652.8435,417356.9857
